year,holdnum,slavenum,sizehold,statefip,stateicp,countyicp,county,urban,city,citypop,metro,metarea,mdstatus,metdist,urbarea,age,gender,norm_race,histid_slave,histid,linkpop,version
1850.0,308236.0,1.0,1.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,75.0,F,B,e18364c4-97a0-481d-91be-e28922294836,fcf5e9ac-92b8-401b-843f-2786d8153b9c,1.0,1.0
1850.0,308237.0,1.0,1.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,M,B,33dd2058-e0aa-434b-8385-29d9b5db3e94,0622d289-e4a3-42a1-ac7b-df16883d4265,1.0,1.0
1850.0,308238.0,1.0,2.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,63.0,F,B,785d3add-4479-4c06-bc84-3bd5a5e5c18e,cdd20dcd-7843-4e73-9060-0db05cfb4704,1.0,1.0
1850.0,308238.0,2.0,2.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,M,B,8853d241-27ff-4f8c-826a-eb58ea846e05,cdd20dcd-7843-4e73-9060-0db05cfb4704,1.0,1.0
1850.0,308239.0,1.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,43.0,M,B,2d7fc833-53f6-4e79-9083-f058f8e349b4,06f69bdb-6373-41c2-aa57-6c5e3c3be614,1.0,1.0
1850.0,308239.0,2.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,30.0,F,B,c65dfcbb-df24-42df-b66a-7a5ad6fcdd4c,06f69bdb-6373-41c2-aa57-6c5e3c3be614,1.0,1.0
1850.0,308239.0,3.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,F,B,ecacd5ba-59e7-4473-a2cc-05240a653954,06f69bdb-6373-41c2-aa57-6c5e3c3be614,1.0,1.0
1850.0,308239.0,4.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,F,B,fa832fe5-3d5e-4945-b0e1-c0790446d5a9,06f69bdb-6373-41c2-aa57-6c5e3c3be614,1.0,1.0
1850.0,308239.0,5.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,M,B,a9a33c89-1251-4925-b568-688afda9db3f,06f69bdb-6373-41c2-aa57-6c5e3c3be614,1.0,1.0
1850.0,308240.0,1.0,1.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,M,B,8390ad92-59e8-403b-8431-0b8f22453f6d,dc7cb078-0a6f-468b-8324-ea2cda6120f1,4.0,1.0
1850.0,308241.0,1.0,1.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,M,B,82ccfd16-e1b3-4734-b86d-881076557722,,0.0,1.0
1850.0,308242.0,1.0,2.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,34.0,M,B,0428711c-cbbf-4f0e-a062-befe1e77c54a,19048a62-389b-443a-8ada-bd23375e0d99,1.0,1.0
1850.0,308242.0,2.0,2.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,F,B,fa1d6daa-3beb-4b86-b3f5-cf599d268674,19048a62-389b-443a-8ada-bd23375e0d99,1.0,1.0
1850.0,308243.0,1.0,2.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,F,B,d0b233c5-d4a7-40cf-8f30-25f96b2bbb78,60137790-0ef3-4206-8186-59ad28909052,1.0,1.0
1850.0,308243.0,2.0,2.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,M,B,7d674e47-18b7-4dd4-aa4a-80f14def6399,60137790-0ef3-4206-8186-59ad28909052,1.0,1.0
1850.0,308244.0,1.0,1.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,M,B,72eb47b3-62e9-4e42-9219-6f8c3d98eba1,7eff5fd1-8754-43b8-b4d8-6e269a37a9c9,1.0,1.0
1850.0,308245.0,1.0,3.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,37.0,F,B,477d8877-89f3-4a2c-8165-431f33bb3ea2,a1d44b89-29cd-4f8a-ab7c-35787b2d21b1,1.0,1.0
1850.0,308245.0,2.0,3.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,F,B,72e2edc4-d0bd-49e2-a6cf-b31c941bad2e,a1d44b89-29cd-4f8a-ab7c-35787b2d21b1,1.0,1.0
1850.0,308245.0,3.0,3.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,F,B,8e9de14a-05ac-480d-bdb5-8599bb7c4e42,a1d44b89-29cd-4f8a-ab7c-35787b2d21b1,1.0,1.0
1850.0,308246.0,1.0,1.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,62.0,M,B,052a79a8-508f-4693-af01-55a3b5e9aa81,c469d350-1a90-4895-9569-08b583cb4dc9,1.0,1.0
1850.0,308247.0,1.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,44.0,M,B,7ff2c85b-7bd4-4d47-8e4f-f48869b3ad33,66d82c4b-120c-48db-bbb4-d93c3636cae8,1.0,1.0
1850.0,308247.0,2.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.0,M,B,5d7ae992-3766-494b-9c84-78282e4e80ec,66d82c4b-120c-48db-bbb4-d93c3636cae8,1.0,1.0
1850.0,308247.0,3.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,30.0,F,B,1241a9fa-cb1f-4444-a27c-f95a98c8525c,66d82c4b-120c-48db-bbb4-d93c3636cae8,1.0,1.0
