assertion_id,subject_id,predicate,object_id,start_year,end_year,who,confidence
5abefa9e-c156-4761-b113-91f51912627d,AUG-CN-1850-7728,isSameAs,AUG-CN-1860-9072,1850,1860,CNT,
64cd291c-c7b2-4fe6-9bdc-7be3c9f3f322,AUG-CN-1850-18376,isSameAs,AUG-CN-1860-2411,1850,1860,CNT,
6f331acd-58fe-4bde-ab1e-1ca7c383ec97,AUG-CN-1850-7287,isSameAs,AUG-CN-1860-19313,1850,1860,CNT,
4fe6abc0-37a9-4c25-b02e-875605b0a2f8,AUG-CN-1850-11042,isSameAs,AUG-CN-1860-7986,1850,1860,CNT,
0c797f18-1947-4386-881b-9cfe1b90fa62,AUG-CN-1850-5936,isSameAs,AUG-CN-1860-5679,1850,1860,CNT,
23c8927c-3de8-4d49-a4ab-d74aee4207c0,AUG-CN-1850-13228,isSameAs,AUG-CN-1860-16433,1850,1860,CNT,
89dec0a5-7d2c-4c6b-81d4-c9e614d37a8b,AUG-CN-1850-18462,isSameAs,AUG-CN-1860-3251,1850,1860,CNT,
de4d0fbc-4e4b-4ad4-ae45-7a35c683635c,AUG-CN-1850-5999,isSameAs,AUG-CN-1860-6100,1850,1860,CNT,
d43ba33b-64a5-4a3a-874b-a757f3e89f45,AUG-CN-1850-5046,isSameAs,AUG-CN-1860-61,1850,1860,CNT,
745a920f-ff04-4228-a8bd-2a447180ef35,AUG-CN-1850-14460,isSameAs,AUG-CN-1860-11212,1850,1860,CNT,
de7aa725-627f-4b2e-8ee3-07803573f2c4,AUG-CN-1850-15182,isSameAs,AUG-CN-1860-254,1850,1860,CNT,
7ad262e2-981d-48ba-ad20-3fbce294cf44,AUG-CN-1850-7087,isSameAs,AUG-CN-1860-19409,1850,1860,CNT,
2f02d961-a2e8-49e0-8424-ecb89676c950,AUG-CN-1850-358,isSameAs,AUG-CN-1860-11271,1850,1860,CNT,
771993c8-d458-4e1c-9bd6-4b1002b934f6,AUG-CN-1850-1501,isSameAs,AUG-CN-1860-12180,1850,1860,CNT,
c1fec8ad-3988-4500-94e1-d508af487660,AUG-CN-1850-16554,isSameAs,AUG-CN-1860-13188,1850,1860,CNT,
f8bb7937-fb4e-49ed-b687-cbecce84871b,AUG-CN-1850-16548,isSameAs,AUG-CN-1860-1545,1850,1860,CNT,
0f598df1-57dd-49c6-8b6c-efe9f3f534d0,AUG-CN-1850-11218,isSameAs,AUG-CN-1860-14568,1850,1860,CNT,
9a216335-f63d-4f9f-a604-59089cb3669a,AUG-CN-1850-836,isSameAs,AUG-CN-1860-9741,1850,1860,CNT,
2294946e-8b9c-496c-a7ba-036c3705fbae,AUG-CN-1850-16772,isSameAs,AUG-CN-1860-946,1850,1860,CNT,
ef562a2c-0880-4f57-a648-3004c53c3c9c,AUG-CN-1850-7154,isSameAs,AUG-CN-1860-19453,1850,1860,CNT,
5b7998d8-62ab-4165-8c70-ec6031ede10e,AUG-CN-1850-14503,isSameAs,AUG-CN-1860-1584,1850,1860,CNT,
9e537bbd-7ff2-463d-90bd-8d1849b6977f,AUG-CN-1850-17000,isSameAs,AUG-CN-1860-1760,1850,1860,CNT,
d617566f-5d90-4dfd-90d3-de2df3da41f7,AUG-CN-1850-10,isSameAs,AUG-CN-1860-14192,1850,1860,CNT,
b4594f56-041a-4ecb-b9dc-7c99f4ff75f7,AUG-CN-1850-16047,isSameAs,AUG-CN-1860-363,1850,1860,CNT,
0b6aeda5-1f80-4169-9ae2-0f4f35c86809,AUG-CN-1850-3690,isSameAs,AUG-CN-1860-2917,1850,1860,CNT,
fbd74842-b5df-4a6a-bd10-a68208bfaa8c,AUG-CN-1850-6499,isSameAs,AUG-CN-1860-4334,1850,1860,CNT,
9c2bdc07-f385-4731-a758-5f029f4ee3ce,AUG-CN-1850-18920,isSameAs,AUG-CN-1860-5220,1850,1860,CNT,
257ec312-5890-44a8-842d-da10eea3efdc,AUG-CN-1850-10461,isSameAs,AUG-CN-1860-19159,1850,1860,CNT,
baf4a7f3-fa5b-459e-9475-cf50cc2c6a61,AUG-CN-1850-5367,isSameAs,AUG-CN-1860-4313,1850,1860,CNT,
30c4f2bb-a64d-4591-a3a3-15ef7903a8aa,AUG-CN-1850-13151,isSameAs,AUG-CN-1860-15380,1850,1860,CNT,
2256beed-ad47-4232-b1d3-6eba95653d1f,AUG-CN-1850-3891,isSameAs,AUG-CN-1860-11691,1850,1860,CNT,
2dcf21e4-9f8f-4262-9d97-0be65ff80fb6,AUG-CN-1850-13771,isSameAs,AUG-CN-1860-21131,1850,1860,CNT,
49893d04-d7de-47b1-a4f7-f315203109a9,AUG-CN-1850-11658,isSameAs,AUG-CN-1860-19145,1850,1860,CNT,
d8b77032-a9eb-442d-933f-d33f9048b53b,AUG-CN-1850-11088,isSameAs,AUG-CN-1860-12116,1850,1860,CNT,
325be937-b99b-4e89-86a7-bcad55dda45e,AUG-CN-1850-2973,isSameAs,AUG-CN-1860-7251,1850,1860,CNT,
3e40ae68-56c0-4ae6-a9a6-4ab49b1afc8b,AUG-CN-1850-4319,isSameAs,AUG-CN-1860-7387,1850,1860,CNT,
9bd8ac6c-9a27-4902-8833-e090f34df965,AUG-CN-1850-1237,isSameAs,AUG-CN-1860-9533,1850,1860,CNT,
510a34f6-c680-4164-b89a-7e68b5bf4182,AUG-CN-1850-13136,isSameAs,AUG-CN-1860-15129,1850,1860,CNT,
51b851f1-a256-4d1d-aab4-41e1218e34cc,AUG-CN-1850-18220,isSameAs,AUG-CN-1860-3383,1850,1860,CNT,
ec24e43f-c5a6-468f-8905-b05a21d277a6,AUG-CN-1850-12972,isSameAs,AUG-CN-1860-16233,1850,1860,CNT,
fde36806-8821-443c-bfc0-c441512bbb96,AUG-CN-1850-2657,isSameAs,AUG-CN-1860-6884,1850,1860,CNT,
cafba49c-4b6e-46e4-b6a2-7d89aced7fcf,AUG-CN-1850-6474,isSameAs,AUG-CN-1860-4412,1850,1860,CNT,
8a229418-aa96-42a3-a994-113d5a12590e,AUG-CN-1850-13550,isSameAs,AUG-CN-1860-19034,1850,1860,CNT,
a0e306bd-b72d-4b9c-a4ab-67439d10fca6,AUG-CN-1850-14996,isSameAs,AUG-CN-1860-15374,1850,1860,CNT,
70e004c9-4d2a-4365-83f5-872ce15de0d0,AUG-CN-1850-15549,isSameAs,AUG-CN-1860-17743,1850,1860,CNT,
d42e64b3-af48-4029-b414-6f7917209c66,AUG-CN-1850-8274,isSameAs,AUG-CN-1860-1603,1850,1860,CNT,
985f88ad-8596-4ed8-bbea-c609662bef80,AUG-CN-1850-12652,isSameAs,AUG-CN-1860-15715,1850,1860,CNT,
8a1b6a4d-52e6-4201-bdc2-2f9005ee5c0c,AUG-CN-1850-7806,isSameAs,AUG-CN-1860-19472,1850,1860,CNT,
98d70924-1600-45ae-ac63-d45b6f486f2b,AUG-CN-1850-6837,isSameAs,AUG-CN-1860-3840,1850,1860,CNT,
3910c12c-31fc-4adb-b6ef-ad3dcaec26e8,AUG-CN-1850-11252,isSameAs,AUG-CN-1860-12026,1850,1860,CNT,
32c76029-bdb2-4d44-a664-4388d9b0dd16,AUG-CN-1850-17179,isSameAs,AUG-CN-1860-1865,1850,1860,CNT,
8ee75399-a48a-4aa2-a27f-52971a4470dd,AUG-CN-1850-10086,isSameAs,AUG-CN-1860-10472,1850,1860,CNT,
693cbb7c-6fed-4657-b34b-c8f18b53dbdd,AUG-CN-1850-9421,isSameAs,AUG-CN-1860-13137,1850,1860,CNT,
fb83fb6f-89c0-43c3-8a39-3bb7474837e8,AUG-CN-1850-823,isSameAs,AUG-CN-1860-11145,1850,1860,CNT,
ba1432ee-3265-4eee-8506-79a154b89b50,AUG-CN-1850-11209,isSameAs,AUG-CN-1860-15114,1850,1860,CNT,
6c4da0e6-74c6-4c89-a774-f1a8c742d29d,AUG-CN-1850-13804,isSameAs,AUG-CN-1860-18869,1850,1860,CNT,
348e6d57-bb9c-4095-a450-23d4f22c8903,AUG-CN-1850-13414,isSameAs,AUG-CN-1860-18064,1850,1860,CNT,
b3da44c7-4fe2-42a7-b3ce-f19c4eab8a6b,AUG-CN-1850-12315,isSameAs,AUG-CN-1860-17271,1850,1860,CNT,
fc4b7f6a-8f8f-4a5c-b69a-b899ff9855f7,AUG-CN-1850-11607,isSameAs,AUG-CN-1860-14793,1850,1860,CNT,
79a09fa4-2dac-4a80-b7df-d82d20ac159e,AUG-CN-1850-8341,isSameAs,AUG-CN-1860-20827,1850,1860,CNT,
27d37fbc-97c4-4af7-87e9-c65613835242,AUG-CN-1850-11210,isSameAs,AUG-CN-1860-16772,1850,1860,CNT,
31dbc123-86da-47eb-b279-5d7e766011ae,AUG-CN-1850-16663,isSameAs,AUG-CN-1860-2330,1850,1860,CNT,
98e1a4ed-a09e-4576-87c8-da357994de58,AUG-CN-1850-839,isSameAs,AUG-CN-1860-11117,1850,1860,CNT,
ac361ca7-7298-4d75-9e3a-213202321e2c,AUG-CN-1850-1552,isSameAs,AUG-CN-1860-11640,1850,1860,CNT,
d32de54c-dfab-4c58-84b1-5bbeedade700,AUG-CN-1850-15881,isSameAs,AUG-CN-1860-505,1850,1860,CNT,
f44e2b74-2135-4bda-acb9-892eb579dcd5,AUG-CN-1850-4948,isSameAs,AUG-CN-1860-1627,1850,1860,CNT,
542f236c-4e63-4bf2-936d-752bc47e8e36,AUG-CN-1850-3438,isSameAs,AUG-CN-1860-10226,1850,1860,CNT,
8e06ffb3-ae97-44b9-8d5c-23bfd167f58e,AUG-CN-1850-491,isSameAs,AUG-CN-1860-12680,1850,1860,CNT,
b1ec8505-d5df-40c4-92d1-bc1b132c94e5,AUG-CN-1850-14607,isSameAs,AUG-CN-1860-16841,1850,1860,CNT,
0f3c6999-6528-4dd7-822e-a9bf5b977e0d,AUG-CN-1850-14616,isSameAs,AUG-CN-1860-1299,1850,1860,CNT,
58e48d61-f0f6-4f9a-b8db-c0902e3721c3,AUG-CN-1850-5800,isSameAs,AUG-CN-1860-5332,1850,1860,CNT,
531dc6f2-eb12-47e8-bfb5-1995964ecca4,AUG-CN-1850-477,isSameAs,AUG-CN-1860-12887,1850,1860,CNT,
1f6f2d40-859f-438b-9c80-6ed6d77c890c,AUG-CN-1850-983,isSameAs,AUG-CN-1860-9442,1850,1860,CNT,
a1d6d8f6-ab25-49f5-a994-2f069503f9a0,AUG-CN-1850-18248,isSameAs,AUG-CN-1860-5508,1850,1860,CNT,
5fd408c4-bbf6-4463-8181-f0469d5241bb,AUG-CN-1850-10921,isSameAs,AUG-CN-1860-7939,1850,1860,CNT,
aecde38f-4168-416e-af0f-34ab62153707,AUG-CN-1850-9474,isSameAs,AUG-CN-1860-8125,1850,1860,CNT,
1ea4f889-db19-46ee-9abb-a78a6c266f08,AUG-CN-1850-789,isSameAs,AUG-CN-1860-11041,1850,1860,CNT,
56afae82-18f9-4337-b8ef-2931013ae25d,AUG-CN-1850-9652,isSameAs,AUG-CN-1860-14900,1850,1860,CNT,
56cd0f1a-8257-42f6-91be-9f17a11ffe15,AUG-CN-1850-10674,isSameAs,AUG-CN-1860-8116,1850,1860,CNT,
e4449b6a-0133-4634-ab2e-50ddc7adec46,AUG-CN-1850-12296,isSameAs,AUG-CN-1860-16559,1850,1860,CNT,
94e099bb-77d7-49fa-89e0-30b03b7ca59f,AUG-CN-1850-2316,isSameAs,AUG-CN-1860-5763,1850,1860,CNT,
15d201fb-1a22-4a51-91d2-b71cc037dca0,AUG-CN-1850-2730,isSameAs,AUG-CN-1860-7037,1850,1860,CNT,
e4f96d5a-aa57-4811-ab1c-4e7a87d43532,AUG-CN-1850-2015,isSameAs,AUG-CN-1860-10678,1850,1860,CNT,
095369fd-3d48-42a7-a6a5-5182b8be231a,AUG-CN-1850-19503,isSameAs,AUG-CN-1860-3748,1850,1860,CNT,
f4f0961b-c9b8-4df0-bf59-2cd269ce8afc,AUG-CN-1850-1605,isSameAs,AUG-CN-1860-11955,1850,1860,CNT,
a1633357-8881-4845-ba19-20f61445509b,AUG-CN-1850-13528,isSameAs,AUG-CN-1860-18788,1850,1860,CNT,
2143eae5-cdf0-491b-9e2c-59082c40ab9a,AUG-CN-1850-6982,isSameAs,AUG-CN-1860-19555,1850,1860,CNT,
3a52e6fb-74dd-4626-b108-1052e6f4dbe9,AUG-CN-1850-18680,isSameAs,AUG-CN-1860-5001,1850,1860,CNT,
f91e1451-5ebe-41a8-81b8-498997c0de29,AUG-CN-1850-17192,isSameAs,AUG-CN-1860-1905,1850,1860,CNT,
6419ce89-f0b2-4f24-9cf3-c14a2d14c96c,AUG-CN-1850-17674,isSameAs,AUG-CN-1860-2575,1850,1860,CNT,
96e1bb23-01ef-432d-9fdd-f1a248e982de,AUG-CN-1850-15774,isSameAs,AUG-CN-1860-291,1850,1860,CNT,
8ea8e9ce-1c79-408a-ac68-f7c2d943ccd8,AUG-CN-1850-18033,isSameAs,AUG-CN-1860-2729,1850,1860,CNT,
41253fce-b76c-4c0e-9566-5ac042bed972,AUG-CN-1850-18402,isSameAs,AUG-CN-1860-3260,1850,1860,CNT,
58a8aa0a-f2e7-4ba4-b95d-c3d55b16148b,AUG-CN-1850-5310,isSameAs,AUG-CN-1860-6306,1850,1860,CNT,
92ebab55-bd5a-4092-8e30-055f554a5a0a,AUG-CN-1850-14476,isSameAs,AUG-CN-1860-16695,1850,1860,CNT,
729c05b4-8374-459c-871f-a72819d5ec66,AUG-CN-1850-16369,isSameAs,AUG-CN-1860-1261,1850,1860,CNT,
262d51c8-f5a1-4fcd-948e-b9ffd0d4d4b2,AUG-CN-1850-11846,isSameAs,AUG-CN-1860-16792,1850,1860,CNT,
f28ea302-6b00-4fba-8b6e-a4f1b08fab71,AUG-CN-1850-3156,isSameAs,AUG-CN-1860-7411,1850,1860,CNT,
ed1ad05a-1202-4e5b-8404-99029a43928a,AUG-CN-1850-5677,isSameAs,AUG-CN-1860-5697,1850,1860,CNT,
