source_year,target_year,histid_source,line_source,histid_target,line_target,source_row_index,target_row_index,reason
1870,1880,17839E14-3278-420A-999B-633622182970,9506,32AB99EE-C7B8-4C2A-8C9A-56ADD200FD5D,15088,,10691,Target in row 10691 already has id_1870=10339 (conflicts with source line 9506)
1870,1880,C03CD0C0-49C6-4723-BAB2-44EEC629D7C3,9921,B89CE6D8-5B04-4567-BF97-3B0F7BF85E7C,13467,,3875,Target in row 3875 already has id_1870=8115 (conflicts with source line 9921)
1870,1880,E9D382EE-3A02-4E6C-AD59-8789CF0B7239,10811,DF9E0A48-4E4A-4D48-ACBD-BC5D84B01D07,14554,,10836,Target in row 10836 already has id_1870=10791 (conflicts with source line 10811)
1870,1880,C343290D-2DE0-437A-8271-CE733FE9AC52,10845,659456CA-8FF8-41AA-B0AD-551141F5D3AB,15156,10853,,Source row 10853 already has id_1880=15158 (conflicts with target line 15156)
1870,1880,B1335251-7499-4CF7-A0B4-8319A0D0A53E,10858,ADAA32F6-B949-49FD-9F78-E96DE4AD9801,19449,,11490,Target in row 11490 already has id_1870=12735 (conflicts with source line 10858)
1870,1880,06D0968D-4EFD-4984-A3AA-45E8B5B443C6,10975,C3A08AFB-7E68-4D5E-B6B7-F8C3B25AD452,15354,5226,4179,"Source histid in row 5226, target histid in row 4179"
1870,1880,7841566C-23E1-49AD-A6AD-DA0E3813C5EC,10978,FC17CD12-99D0-4B46-9FEA-42D5BA6551B6,11792,,376,Target in row 376 already has id_1870=10986 (conflicts with source line 10978)
1870,1880,E973F776-ED05-4B7F-86CF-6DA19B2E87E6,10982,50852BB9-AFAC-448E-8E73-E4BD58645B02,11795,,2223,Target in row 2223 already has id_1870=10981 (conflicts with source line 10982)
1870,1880,4BA619C2-A25D-4028-AD58-2A45BC1247CE,10983,9A32C579-9ED5-4900-B2A4-A9843FC38CB2,11796,2221,,Source row 2221 already has id_1880=11797 (conflicts with target line 11796)
1870,1880,A8138D54-A92F-4468-8685-34BCC45C96FB,11255,512B0F8A-455D-4159-8B90-73CC13E71CBB,16042,11014,,Source row 11014 already has id_1880=13239 (conflicts with target line 16042)
1870,1880,0E51F7D8-2D96-43D6-8B13-827F20106E22,11523,2073B7B2-60FF-438C-8626-084049E70674,21138,11088,,Source row 11088 already has id_1880=18742 (conflicts with target line 21138)
1870,1880,851F4B75-B7AF-4D90-A9AA-D43BA960379C,11927,D2394737-46F7-49F7-9618-DCD6D0FF1B32,2337,,11238,Target in row 11238 already has id_1870=11924 (conflicts with source line 11927)
1870,1880,05ACD2C3-F49C-4C30-A5B2-EBAC7827D113,12149,0D08F70C-C214-4F07-9A05-AC770D0932C6,2212,11307,,Source row 11307 already has id_1880=2645 (conflicts with target line 2212)
